source,target,weight
begin to jump up,begin to run up,133
begin to run up,fall to the ground,109
begin to jump up,fall to the ground,124
put the melted soap block into the vessel,take out after freezing,54
place label,wipe screen,12
paste protector on the screen,place label,9
paste protector on the screen,remove the label,19
paste protector on the screen,wipe screen again,13
remove the label,wipe screen again,14
connect the water pipe,install the new faucet,25
connect the water pipe,open the sluice and test the new faucet,20
insert money into the vending machine,press the corresponding button,61
insert money into the vending machine,take out the goods,55
press the corresponding button,take out the goods,62
put the ingredients into the bowl,stir the ingredients,109
prepare and add the tea,prepare and boil water,19
heat the teapot and wash the cup,prepare and boil water,2
draw black patterns,ink the marked area,2
ink the marked area,scrape tarpaulin without ink,30
scrape tarpaulin without ink,transfer print,20
ink the marked area,transfer print,100
transfer print,transfer print,20
pack the sleeping bag,tie the bag tightly,39
fold or fire the blank paper,show the blank paper,42
fold or fire the blank paper,show the money to the audience,38
circle the rope under the bolt,cross the rope to wrap the bolt,56
cross the rope to wrap the bolt,cross the rope to wrap the bolt,14
remove the head,remove the vein,9
lighten the lighter to check,pump up the fuel,22
replace the old shower head,wrap the pipe band,25
install the new shower head,wrap the pipe band,51
add seasoning to the boiling water,add seasoning to the boiling water,6
pour the cooked noodles,pour the noodles into the water and stir,43
add seasoning on the salmon,fry salmon,34
fry salmon,fry salmon,8
pump up to the tire,remove the air nozzle,37
take out the filter,take out the shell,65
clean up the filter,take out the shell,3
clean up the filter,take out the filter,4
clean up the filter,fit on the filter,3
clean up the filter,fit on the shell,3
fit on the filter,fit on the shell,64
transfer and dissolve the solute,weigh up the solute,34
transfer and dissolve the solute,transfer and dissolve the solute,13
put the washed rice into the rice cooker,soak and wash the rice,31
cook the rice by rice cooker,put the washed rice into the rice cooker,68
cook the rice by rice cooker,cook the rice by rice cooker,9
install the new wax ring,remove the old wax ring and clean,15
pour the noodles into the water and stir,take a little bit noodles and taste it,8
pour the cooked noodles,take a little bit noodles and taste it,8
add raw materials,mix raw materials,209
mix raw materials,mix raw materials,69
mix raw materials,pour bean paste into plate,24
assemble the cushion and the backrest,install the wheels for the base,45
assemble the cushion and the backrest,connect the chair and the base,90
clean toys and hamster cages,remove the toy and paper bed from the hamster cage,46
clean toys and hamster cages,clean toys and hamster cages,10
add raw materials,add raw materials,30
add raw materials,pour bean paste into plate,13
invert seasoning,mix raw materials,14
invert seasoning,pour bean paste into plate,15
pour the soup in,put the ingredients into the can,46
close cans,pour the soup in,40
lift the barbell directly over the head,stand up with straight legs,65
lift the barbell directly over the head,pull the barbell to the chin,20
pull the barbell to the chin,stand up with straight legs,55
lift the barbell from the chin over the head,stand up with straight legs,59
lift the barbell from the chin over the head,pull the barbell to the chin,63
press the sticker,tear off the front of the sticker,64
press the sticker,press the sticker,7
press the sticker,tear off the other side of the sticker,62
install the new bulb,take out the old bulb,67
remove the old memory chip,take out the shell,62
install the new memory chip,remove the old memory chip,62
fit on the shell,install the new memory chip,60
adjust the tightness of the new string,cut off and remove the old string,2
fix the new string on the head of the guitar,fix the new string on the lower part of the guitar,95
adjust the tightness of the new string,fix the new string on the head of the guitar,54
fix the new string on the head of the guitar,fix the new string on the head of the guitar,20
install the new filter,take out the old filter,44
prepare the filler,put the filler on the bread slice,38
remove the hamster from the hamster cage,remove the toy and paper bed from the hamster cage,24
clean toys and hamster cages,move the toy and paper bed into the hamster cage,50
move the toy and paper bed into the hamster cage,put the hamster back into the hamster cage,17
open cover,remove battery,18
close cover,put battery in,22
press the SIM card slot back,put the SIM card into the SIM card slot,54
check the type of the back cover,open the back cover,26
install the back cover and waterproof ring,replace the battery,54
install the new bolt,install the new pin board,29
install the new bolt,install the new door knob,47
begin to practise karate,march into the area and salute,64
begin to practise karate,exit from the area and salute,79
cover with some soil,sow on the soil,95
pull out the screen connector and remove the screen,unscrew the screws used to fix the screen,67
install the new screen,reset and screw on the screws,46
package and freeze,pour the ingredients into the bowl,20
install the new graphics card,take out the shell,2
plunge into thigh,unplug protection head,21
plunge into thigh,pull out after a period of time,37
glue on the back of the rubber,glue on the paddle,27
cut the rubber,put rubber on paddle,22
load the inner tube,pump up the tire,5
show the blank paper,show the money to the audience,28
make the  detergent,use vacuum cleaner to clean,2
make the  detergent,wet the mop,7
make the  detergent,mop the floor,14
mop the floor,wet the mop,25
clean wall with a clean cloth,wipe wall with detergent,18
arrange the seperated wire,strip the insulation,65
insert it into the crystal head,insert it into the crystal head,1
fixe it with a crimping pliers,insert it into the crystal head,48
clean the window surface,tear off the front of the sticker,16
put the sticker on the window,tear off the front of the sticker,50
press the sticker,put the sticker on the window,46
pour the cooked noodles,pour the cooked noodles,2
add seasoning,add seasoning on the salmon,13
add decoration,add seasoning on the salmon,15
take out the blade,turn off the balde screw,43
install the new blade,turn off the balde screw,20
tighten the blade screw,turn off the balde screw,9
install the new blade,take out the blade,36
take out the blade,tighten the blade screw,12
install the new blade,tighten the blade screw,57
cut the wide side,remove the core,4
cut into strips and pieces,remove the core,47
tear out the foil,turn the suspension link,47
open the bottle carefully,turn the suspension link,46
remove the gill,remove the intestines and blood vessels,8
filtrate the coffee beans,grind the coffee beans,5
open the car key cover,take out the car key battery,22
close the car key cover,put in the battery,27
remove the peel,slice the pulp,51
install the air nozzle,pump up to the tire,37
brush the gesso evenly,pour the gesso to the canvas,33
open the laptop rear cover,remove the old hard disk,49
remove the old hard disk,remove the old hard disk,21
install the new hard disk,remove the old hard disk,43
install the new hard disk,install the new hard disk,17
cut paper,paint on the paper,6
cut paper,fold or bent paper,17
fold or bent paper,put paper together,16
put strawberries and other fruits into the juicer,"put yogurt, honey and other ingredients into the juicer",68
put strawberries and other fruits into the juicer,put strawberries and other fruits into the juicer,9
"put yogurt, honey and other ingredients into the juicer","put yogurt, honey and other ingredients into the juicer",24
"put yogurt, honey and other ingredients into the juicer",shake and juice,51
wear a eye protection helmet,weld along the weld line,17
fold the edges of the paper,fold the squares inward and fix them,28
cut along the edges,fold the edges of the paper,84
fold the edges of the paper,fold the edges of the paper,12
cut along the edges,fold the squares inward and fix them,37
fix and fasten the upper and lower ropes to car,mount the bracket to the back of the car,31
fix and fasten the upper and lower ropes to car,place the bicycle on the bracket,24
fasten the strap,place the bicycle on the bracket,66
open the back cover,replace the battery,52
install the back cover and waterproof ring,install the back cover and waterproof ring,6
pull out the insurance ring,spray towards the fire,62
adjust the tightness of the new string,adjust the tightness of the new string,9
apply polishing paste on the surface,apply polishing paste on the surface,4
apply polishing paste on the surface,clean the scratch,43
clean the window surface,put the sticker on the window,16
tear off the front of the sticker,tear off the other side of the sticker,4
fit on the boards,prepare the ground floor,16
cut the raw boards,fit on the boards,39
prepare the frame,stick or bind flower to the frame,50
cut in half,slice the pulp,22
prepare flower,prepare the frame,43
cut the packing paper,measure the size of the packing paper,10
measure the size of the packing paper,measure the size of the packing paper,3
measure the size of the packing paper,stick with the tape and wrap,6
cut the packing paper,stick with the tape and wrap,17
add raw materials,invert seasoning,2
apply the shampoo or hair conditioner,scratch the hair carefully,87
scratch the hair carefully,wet and wash the hair,87
scratch the hair carefully,scratch the hair carefully,26
wet and wash the hair,wet and wash the hair,26
make the hair dry,wet and wash the hair,12
add ingredients into cone,cone the leaves,32
add ingredients into cone,fold the leaves,42
fold the leaves,tie the zongzi tightly,43
apply detergent to bathtub,scrub the bathtub,48
clean bathtub with water,scrub the bathtub,20
block out the glass,show the glass to the audience,70
block out the glass,show the vanished glass,53
connect the chair and the base,install the wheels for the base,8
clean the floor,dip detergent with rag or apply detergent,33
clean the floor,wash the floor,11
fix the new string on the lower part of the guitar,fix the new string on the lower part of the guitar,11
add tea powder,brew tea and stir,64
bring the frisbee back,chase for the frisbee,105
clean the scratch,clean the scratch,33
paste paper into base of paper basket,stick handle to paper basket,3
put the SIM card into the SIM card slot,use the needle to open the SIM card slot,31
insert oil gun in the car,open the fuel tank cap,30
insert oil gun in the car,operate the control panel,18
insert oil gun in the car,pullthe  oil gun out,12
operate the control panel,pullthe  oil gun out,7
rinse the pot,rub back and forth with potatoes or rust remover,63
apply detergent to leather,wipe the detergent,43
clean the surface,wipe the detergent,56
pour salt and rust removal liquid,pour salt and rust removal liquid,6
pour salt and rust removal liquid,rub back and forth with potatoes or rust remover,44
rub back and forth with potatoes or rust remover,rub back and forth with potatoes or rust remover,34
inject the ink to the cartridge,stick on the label,17
cut potato into strips,soak them in water,33
dry strips,soak them in water,40
put in the oil to fry,soak them in water,8
dry strips,put in the oil to fry,27
install the laptop rear cover,install the new hard disk,45
fry meat,knead the meat,27
combine meat and bread to make burger,fry meat,43
apply glue to the wall and wallpaper,make the glue,2
make the glue,measure and mark the wall,3
measure and mark the wall,paste and level the wallpaper,29
apply glue to the wall and wallpaper,measure and mark the wall,11
apply glue to the wall and wallpaper,paste and level the wallpaper,38
apply glue to the wall and wallpaper,apply glue to the wall and wallpaper,2
crop the wallpaper,paste and level the wallpaper,66
paste and level the wallpaper,paste and level the wallpaper,30
apply glue to the wall and wallpaper,crop the wallpaper,9
rinse the pot,rinse the pot,2
install the SSD onto the hard disk tray,install the SSD onto the hard disk tray,2
insert the hard disk tray into the position of the CD drive,screw off the screws and sheetmetals and baffles on the both sides of the CD drive,5
press book or heat flower,put flower in book,65
put flower in book,take out dry flowers,13
press book or heat flower,take out dry flowers,20
take out dry flowers,use dried flower to place pattern and fix it,5
cut off and remove the old string,fix the new string on the lower part of the guitar,10
add different kinds of ingredients,mix the raw materials,256
add different kinds of ingredients,add different kinds of ingredients,33
mix the raw materials,mix the raw materials,65
install the SSD onto the hard disk tray,install the screws and sheetmetals and baffles onto the hard disk tray,14
install the screws and sheetmetals and baffles onto the hard disk tray,take out the laptop CD drive,5
insert the hard disk tray into the position of the CD drive,take out the laptop CD drive,39
install the motherboard,plug cable and wire,9
install peripherals inside the case,install the motherboard,10
install peripherals inside the case,plug cable and wire,19
prepare flower,stick or bind flower to the frame,33
add some water to the tea,pour the tea into the vessel,17
add some water to the vessel,grind roundly and evenly,33
absorb liquid with dropper,release liquid,52
cut the tarpaulin,scrape tarpaulin without ink,3
add water to Neti Pot,fill a nostril with saline and do the same to the other nostril,6
fill a nostril with saline and do the same to the other nostril,wipe nose,40
fill a nostril with saline and do the same to the other nostril,fill a nostril with saline and do the same to the other nostril,12
apply detergent to the external side,wipe the external side,4
scrub the toilet interior,wipe the external side,6
wipe the external side,wipe the external side,5
connect the chair and the base,connect the chair and the base,2
cut off the tail and fin,scratch scales,8
remove the intestines and blood vessels,scratch scales,4
cut off the tail and fin,remove the intestines and blood vessels,8
cut off the tail and fin,remove the gill,4
cut the head,remove the gill,2
remove the gill,scratch scales,1
cut the head,scratch scales,2
knead together,press the strips in the middle with a board,1
fry the dough,press the strips in the middle with a board,12
hold electrode with a welding tong,weld along the weld line,15
weld along the weld line,weld along the weld line,5
install horizontal boards,install vertical boards,11
install horizontal boards,install horizontal boards,2
assemble the frame,install horizontal boards,23
rise to the sky,ski down from the hill,160
rise to the sky,rise to the sky,100
add milk,brew tea and stir,9
sow on the soil,water and fertilize the seeds,29
apply the lubricant on the lock,insert the key repeatly,52
insert the key repeatly,wipe off the redundant lubricant,10
apply the lubricant on the lock,wipe off the redundant lubricant,10
cut the headphone cable,process the copper wire inside the earphone cable,33
pull out after a period of time,unplug protection head,8
add some oil to the pot,rub back and forth with potatoes or rust remover,19
brush ice floor,push curling,85
add seasoning to the boiling water,pour the noodles into the water and stir,27
cut tiles,wipe adhesive and bedding layer,8
cut tiles,tile the wall,17
tile the wall,wipe adhesive and bedding layer,99
wipe adhesive and bedding layer,wipe adhesive and bedding layer,10
fill the gap,wipe adhesive and bedding layer,1
fill the gap,tile the wall,6
put the new rubber sleeve into the wiper head,take out the old rubber sleeve from the wiper head,4
look for leaks,remove inner tube,24
add decoration,load the dish,11
fill the solution to the mark,pour the solution to the volumetric flask,27
invert the volumetric flask,seal the volumetric flask,18
place the board on each side,place the board on each side,5
place the bed board,place the board on each side,12
place mattress on the bed,place the board on each side,5
bake pizza,unroll the dough,8
add seasoning,unroll the dough,64
add seasoning,bake pizza,50
add seasoning to the boiling water,pour the cooked noodles,3
apply shaving cream to the face,shave roughly on the face,8
shave carefully on the face,shave roughly on the face,12
apply shaving cream to the face,shave carefully on the face,30
pour some glue to the face,wipe the glue to a layer,51
reveal the glue from the face,wipe the glue to a layer,36
install stand of the seat,put on sofa cover,9
install stand of the seat,put every parts mentioned together,4
put every parts mentioned together,put on sofa cover,6
put on sofa cover,put on sofa cover,1
add ingredients into cone,tie the zongzi tightly,21
switch off the power,use electricity meter to check the power supply,4
use electricity meter to check the power supply,use electricity meter to check the power supply,6
apply the cleaning agent with towel evenly,spray the cleaning agent on the car window,40
thread thorugh the needle,twine round the thread,38
thread thorugh the needle,thread thorugh the needle,6
put the melted soap block into the vessel,put the melted soap block into the vessel,14
install the new faucet,open the sluice and test the new faucet,9
mount the bracket to the back of the car,place the bicycle on the bracket,25
fasten the strap,mount the bracket to the back of the car,21
place a piece of paper on weighing pan,zeroing set,20
place weighing sample on weighing pan and read,zeroing set,81
clean the surface,clean the surface,7
polish with polisher,polish with polisher,19
clean the scratch,polish with polisher,48
apply polishing paste on the surface,polish with polisher,50
glue on the paddle,put rubber on paddle,14
place the board on each side,put all bed boxes together,1
place the bed board,put all bed boxes together,1
remove the bolt and pin board,remove the door knob,41
cut into small pieces,put the filler on the bread slice,22
connect branches,cut branches,33
apply detergent to the intertior of the toilet,scrub the toilet interior,23
flush and wash the interior,scrub the toilet interior,28
inject to the muscular,pull out the needle and press,57
fix the candle wick,put the candle wick into a vessel,4
put seasoning in the egg,stir the egg,18
fry eggs,pour the egg into the pot,78
fry eggs,fry eggs,14
replace with the new drumhead,screw on the screws,35
insert the stapler pins,pull open the stapler,38
close up the stapler,pull open the stapler,29
close up the stapler,insert the stapler pins,40
do the first layup,dribble in the field,40
do the first layup,pass the basketball into the hole at the first time,36
do the first layup,shoot towards the basket,13
dribble in the field,pass the basketball into the hole at the first time,131
dribble in the field,shoot towards the basket,109
dribble in the field,pass the basketball into the hole at the second time,43
dribble in the field,dribble in the field,62
pass the basketball into the hole at the first time,shoot towards the basket,60
pass the basketball into the hole at the first time,pass the basketball into the hole at the second time,32
pass the basketball into the hole at the second time,shoot towards the basket,31
shoot towards the basket,shoot towards the basket,3
do the first layup,pass the basketball into the hole at the second time,14
do the first layup,dribble and lay up,10
dribble and lay up,pass the basketball into the hole at the first time,41
dribble and lay up,shoot towards the basket,47
dribble and lay up,dribble in the field,116
dribble and lay up,pass the basketball into the hole at the second time,11
let the flat side of the new needle towards the jack and insert the new needle,unscrew the screw and take out the needle,13
let the flat side of the new needle towards the jack and insert the new needle,screw on the screw,46
install the new bolt,install the new bolt,5
install the new door knob,install the new pin board,25
pour the gesso to the canvas,pour the gesso to the canvas,4
brush the gesso evenly,brush the gesso evenly,4
lay the cushion evenly,set up the brackets,40
put the waterproof cover,set up the brackets,9
fix the ground nail,put the waterproof cover,24
clean up the interior of thepumpkin,remove pumpkin pedicle,30
carve along the outline,clean up the interior of thepumpkin,21
fry or grill,prepare the filler,8
fry or grill,put the filler on the bread slice,39
jack up the car,unscrew the screw,55
jack up the car,jack up the car,10
remove the tire,unscrew the screw,29
put on the tire,unscrew the screw,18
jack up the car,remove the tire,25
jack up the car,put on the tire,14
jack up the car,tighten screws,13
put on the tire,remove the tire,35
remove the tire,tighten screws,29
put on the tire,tighten screws,41
absorb some ink slowly,clean the fountain pen with napkin,22
insert the paperclips into the lock hole,twist the paperclips by hands,136
pull up the hair to reserve place for the hair extensions,put on the hair extensions,139
put down the hair and comb,put on the hair extensions,150
pull up the hair to reserve place for the hair extensions,put down the hair and comb,61
cut out a hole,paste and level the wallpaper,9
paste and level the wallpaper,wipe or polish the wall,15
wipe or polish the wall,wipe or polish the wall,1
apply glue to the wall and wallpaper,wipe or polish the wall,1
peel,slice the pulp,21
peel,peel,2
aim at the pin,push the pin out,92
aim at the pin,remove the old watch band and reconnect,12
push the pin out,remove the old watch band and reconnect,29
put the pin in,remove the old watch band and reconnect,41
push the pin in,put the pin in,44
take out the blade from the old rubber sleeve,take out the old rubber sleeve from the wiper head,6
put the balde into the new rubber sleeve,put the new rubber sleeve into the wiper head,13
fill the pit with some soil,fill the tree into the pit,35
begin to run up,do the first two jumps,72
do the first two jumps,do the third jump,164
cut the rope,knot the rope,26
inflate the tyre after replacement,install the new air nozzle,17
inflate the tyre after replacement,inflate the tyre after replacement,1
remove the shrimp shell,remove the vein,54
install the new door knob,remove the door knob,5
add milk,add tea powder,2
remove the light housing or shell and bulb,remove the light socket and disconnect the wire,22
iron the cloths with the iron,put the clothes neatly on a ironing table,137
iron the cloths with the iron,iron the cloths with the iron,56
flip the clothes repeatly,iron the cloths with the iron,82
flip the clothes repeatly,put the clothes neatly on a ironing table,54
put the clothes neatly on a ironing table,put the clothes neatly on a ironing table,17
stick or bind flower to the frame,stick or bind flower to the frame,9
mix the raw materials,rub and drag the materials,72
install the back cover and waterproof ring,open the back cover,4
apply the cleaning agent with towel evenly,wipe off the cleaning agent,27
fill with some soil,put in the plant,51
put in the plant,put in the plant,10
install the new memory chip,take out the shell,17
fit on the shell,remove the old memory chip,7
dry strips,dry strips,3
draw black patterns,transfer pattern to board or tarpaulin,8
draw lines to mark the hole,drill with an electric drill,9
install the new chain,link the new chain,8
decorate with fruit,pour into the ingredients,10
cut the raw materials,nail down or stick together,32
move the toy and paper bed into the hamster cage,remove the toy and paper bed from the hamster cage,28
fix the wind mill on the bracket,fold the squares inward and fix them,32
nail down or stick together,thread and make knots,7
install the new shower head,replace the old shower head,14
cut into strips and pieces,peel,12
install the bulb and light housing or shell,remove the light socket and disconnect the wire,2
open the front door or cover of the printer,take out the toner cartridge,45
close the front door or cover of the printer,insert a new toner cartridge,55
install the wiper back,take out the wiper,53
cover with some soil,water and fertilize the seeds,36
apply a cover on the soil,water and fertilize the seeds,11
load the inner tube,load the tire,20
cut up the garlics,smash the garlics with the knife face,40
cut up the garlics,cut up the garlics,10
blow the raw sugar,knead the raw sugar,33
soak and wash the rice,take out some rice,34
cut a hole on the shell,take out the shell,11
cut a hole on the shell,prepare and boil water,11
clean the inside of the button,wipe the keyboard,8
heat the back cover of the phone,pick up the back cover of the phone with the cymbal,10
pick up the back cover of the phone with the cymbal,pick up the back cover of the phone with the cymbal,3
pick up the back cover of the phone with the cymbal,remove the components of the fixed battery,20
remove the components of the fixed battery,take down the old battery,14
put inner tube back,remove inner tube,7
pre-swing,rotate body and accelerate the hammer,114
pre-swing,throw the hammer out,92
rotate body and accelerate the hammer,throw the hammer out,158
begin to run up,do the third jump,65
do the first two jumps,do the first two jumps,38
do the third jump,do the third jump,25
show the glass to the audience,show the vanished glass,23
block out the glass,block out the glass,13
pour the egg into the bowl,pour the egg into the pot,1
fry eggs,pour the egg into the bowl,1
pour the tea into the vessel,pour the tea into the vessel,2
heat the teapot and wash the cup,pour the tea into the vessel,3
add some ingredients to the tea,add some water to the tea,2
add some water to the tea,add some water to the tea,7
buckle the cap,put lead into the pen,13
add seasoning on the salmon,add seasoning on the salmon,4
rinse the dish,wipe the dish,23
fasten the strap,fix and fasten the upper and lower ropes to car,24
load a new battery,remove the components of the fixed battery,2
load a new battery,take down the old battery,24
restore the fixed battery components and the back cover,take down the old battery,3
load a new battery,restore the fixed battery components and the back cover,26
put strawberries and other fruits into the juicer,shake and juice,37
make the clothes wet,put the clothes neatly on a ironing table,4
flip the clothes repeatly,make the clothes wet,2
flip the clothes repeatly,flip the clothes repeatly,6
scrub the bathtub,scrub the bathtub,11
put in the battery,take out the car key battery,21
cut off the electric wire,remove the old rearview mirror,37
remove the old rearview mirror,remove the old rearview mirror,3
pre-swing,pre-swing,14
rotate body and accelerate the hammer,rotate body and accelerate the hammer,46
throw the hammer out,throw the hammer out,25
dig some holes on the soil,sow on the soil,25
pour some soy beans,pour some water to the soy milk maker,17
pour some water to the soy milk maker,run the soy milk maker,22
filtrate with a filter,pour into a glass,15
apply detergent,mop the floor,27
mop the floor,mop the floor,10
set up the brackets,set up the platfond,34
put the waterproof cover,set up the platfond,9
apply the shampoo or hair conditioner,wet and wash the hair,58
apply the shampoo or hair conditioner,apply the shampoo or hair conditioner,9
install peripherals inside the case,install the fan,10
install the fan,plug cable and wire,5
fix the ground nail,set up the brackets,29
fix the ground nail,set up the platfond,24
fix the ground nail,fix the ground nail,4
line up the protector and the cellphone,paste protector on the screen,80
knead the dough,unroll the dough,25
add seasoning,knead the dough,8
mix and pickle,prepare seasonings and side dishes,42
prepare seasonings and side dishes,prepare seasonings and side dishes,11
roast ingredients,string together,27
dig a pit with proper size,fill the tree into the pit,20
add seasoning,fry salmon,17
fry salmon,load the dish,13
add decoration,fry salmon,7
arrange the seperated wire,cut a certain length,55
arrange the seperated wire,insert it into the crystal head,34
cut a certain length,insert it into the crystal head,49
remove cap,remove cap,1
buckle the cap,buckle the cap,1
apply a cover on the soil,cover with some soil,6
dig some holes on the soil,water and fertilize the seeds,4
put the washed rice into the rice cooker,take out some rice,15
install the light shell/housing/support,install the new bulb,39
insert a new toner cartridge,take out the toner cartridge,32
put nicely and align the quilt and the cover,roll the quilt cover and the quilt together,23
roll the quilt cover and the quilt together,take out the quilt cover from another side,29
put and arrange nicely,take out the quilt cover from another side,31
carve along the outline,remove pumpkin pedicle,7
assemble the cushion and the backrest,assemble the cushion and the backrest,31
open the lid of new container,put in a new grease container,28
open the lid of new container,screw gun head back,18
install the new toilet seat,take out the screws,5
install the new toilet seat,screw on the screws,48
insert the earplugs into the ears,pull the ears outwards,24
open up the cover,take out the fuse,8
fit on the fuse,take out the fuse,15
close up the cover,fit on the fuse,9
remove the original protector,wipe the screen,84
line up the protector and the cellphone,remove the original protector,56
line up the protector and the cellphone,wipe the screen,61
paste protector on the screen,wipe the screen,64
wipe the screen,wipe the screen,43
add water into the volumetric flask to the tick line,transfer and dissolve the solute,28
open the back cover,open the back cover,4
take out the plant,take out the plant,7
put in the plant,take out the plant,56
install the new screen,pull out the screen connector and remove the screen,31
peel,remove the core,8
mix raw materials,pour raw materials,134
add ice cubes,put strawberries and other fruits into the juicer,18
add ice cubes,"put yogurt, honey and other ingredients into the juicer",13
close the fuel tank cap,pullthe  oil gun out,17
cut off the tail and fin,cut the head,6
cut ingredients,put the ingredients into the bowl,69
cut ingredients,cut ingredients,15
cut ingredients,stir the ingredients,8
fold or bent the paper,nail down or stick together,65
apply the lubricant on the lock,apply the lubricant on the lock,14
install legs of sofa,place cushion and backrest,16
drive the car backward,drive the car forward,35
adjust front and back position,drive the car backward,28
fry meat,fry meat,9
add a small amount of salt to Neti Pot,shake and stir,13
fill a nostril with saline and do the same to the other nostril,shake and stir,15
make the detergent,scrub the bathtub,10
add seasoning,add seasoning,17
pick up the back cover of the phone with the cymbal,take down the old battery,11
install the light socket,remove the light socket and disconnect the wire,6
cross the rope to wrap the bolt,strain the rope tightly,10
remove the cap of the new filter,take out the old filter,20
install the new filter,remove the cap of the new filter,22
fill with some soil,take out the plant,18
insert or put on the shin guard,put on the shin guard sleeves or football socks,48
put on the shin guard sleeves or football socks,wrap on the tape,8
prepare the soil carefully,sow on the soil,16
prepare the soil carefully,water and fertilize the seeds,6
dig some holes on the soil,prepare the soil carefully,6
add some oil to the pot,pour salt and rust removal liquid,5
add some oil to the pot,rinse the pot,2
place license plate,screw and fix the cover,43
slice the pulp,slice the pulp,8
prepare meat,prepare seasonings and side dishes,24
mix and pickle,prepare meat,20
mix and pickle,mix and pickle,6
mix and pickle,string together,25
prepare seasonings and side dishes,string together,5
prepare seasonings and side dishes,roast ingredients,4
decorate the wrapped gift,stick with the tape and wrap,35
